Input_Len,Pred_Len,Rate,Model,Loss,Active_Features_Count,Active_Features
100,1500,10,NoPosEnc,FadeTailDist,1,018|era5_pressure_merged_5hPa_filtered_normalized|t
100,1500,10,NoPosEnc,TailW1,1,064|era5_pressure_merged_650hPa_filtered_normalized|v
100,1500,10,NoPosEnc,FadeDist,1,064|era5_pressure_merged_650hPa_filtered_normalized|v
100,1500,10,NoPosEnc,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,1500,10,NoPosEnc,W1,1,061|era5_pressure_merged_650hPa_filtered_normalized|cswc
100,1500,10,NoPosEnc,W2,1,058|era5_pressure_merged_650hPa_filtered_normalized|clwc
100,2100,10,NoPosEnc,TailMSE,1,042|era5_pressure_merged_200hPa_filtered_normalized|ciwc
100,2100,10,NoPosEnc,FadeTailDist,1,037|era5_pressure_merged_200hPa_filtered_normalized|cc
100,2100,10,NoPosEnc,TailW1,1,000|era5_pressure_merged_1hPa_filtered_normalized|d
100,2100,10,NoPosEnc,FadeDist,1,004|era5_pressure_merged_1hPa_filtered_normalized|r
100,2100,10,NoPosEnc,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2100,10,NoPosEnc,W1,1,010|era5_pressure_merged_1hPa_filtered_normalized|vo
100,2100,10,NoPosEnc,W2,1,026|era5_pressure_merged_30hPa_filtered_normalized|o3
100,2700,10,NoPosEnc,FadeDist,1,033|era5_pressure_merged_30hPa_filtered_normalized|w
100,2700,10,NoPosEnc,FadeTailDist,1,056|era5_pressure_merged_650hPa_filtered_normalized|r
100,2700,10,NoPosEnc,TailMSE,1,145|era5_surface_merged_all_filter_normalized|istl2
100,2700,10,NoPosEnc,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2700,10,NoPosEnc,TailW1,1,047|era5_pressure_merged_200hPa_filtered_normalized|v
100,2700,10,NoPosEnc,W1,1,054|era5_pressure_merged_650hPa_filtered_normalized|o3
100,2700,10,NoPosEnc,W2,1,013|era5_pressure_merged_5hPa_filtered_normalized|z
100,100,10,NoTempAttn,TailMSE,1,018|era5_pressure_merged_5hPa_filtered_normalized|t
100,100,10,NoTempAttn,FadeTailDist,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,100,10,NoTempAttn,TailW1,1,062|era5_pressure_merged_650hPa_filtered_normalized|t
100,100,10,NoTempAttn,FadeDist,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,100,10,NoTempAttn,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,100,10,NoTempAttn,W1,1,021|era5_pressure_merged_5hPa_filtered_normalized|w
100,100,10,NoTempAttn,W2,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,300,10,NoTempAttn,TailMSE,1,020|era5_pressure_merged_5hPa_filtered_normalized|v
100,300,10,NoTempAttn,FadeTailDist,1,026|era5_pressure_merged_30hPa_filtered_normalized|o3
100,300,10,NoTempAttn,TailW1,1,000|era5_pressure_merged_1hPa_filtered_normalized|d
100,300,10,NoTempAttn,FadeDist,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,300,10,NoTempAttn,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,300,10,NoTempAttn,W1,1,044|era5_pressure_merged_200hPa_filtered_normalized|cswc
100,300,10,NoTempAttn,W2,1,018|era5_pressure_merged_5hPa_filtered_normalized|t
100,900,10,NoTempAttn,TailMSE,1,014|era5_pressure_merged_5hPa_filtered_normalized|o3
100,900,10,NoTempAttn,FadeTailDist,1,049|era5_pressure_merged_200hPa_filtered_normalized|vo
100,900,10,NoTempAttn,TailW1,1,064|era5_pressure_merged_650hPa_filtered_normalized|v
100,900,10,NoTempAttn,FadeDist,1,064|era5_pressure_merged_650hPa_filtered_normalized|v
100,900,10,NoTempAttn,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,900,10,NoTempAttn,W1,1,064|era5_pressure_merged_650hPa_filtered_normalized|v
100,900,10,NoTempAttn,W2,1,013|era5_pressure_merged_5hPa_filtered_normalized|z
100,1500,10,NoTempAttn,TailMSE,1,018|era5_pressure_merged_5hPa_filtered_normalized|t
100,1500,10,NoTempAttn,FadeTailDist,1,034|era5_pressure_merged_30hPa_filtered_normalized|vo
100,1500,10,NoTempAttn,TailW1,1,016|era5_pressure_merged_5hPa_filtered_normalized|r
100,1500,10,NoTempAttn,FadeDist,1,020|era5_pressure_merged_5hPa_filtered_normalized|v
100,1500,10,NoTempAttn,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,1500,10,NoTempAttn,W1,1,018|era5_pressure_merged_5hPa_filtered_normalized|t
100,1500,10,NoTempAttn,W2,1,048|era5_pressure_merged_200hPa_filtered_normalized|w
100,2100,10,NoTempAttn,TailMSE,1,010|era5_pressure_merged_1hPa_filtered_normalized|vo
100,2100,10,NoTempAttn,FadeTailDist,1,015|era5_pressure_merged_5hPa_filtered_normalized|pv
100,2100,10,NoTempAttn,TailW1,1,020|era5_pressure_merged_5hPa_filtered_normalized|v
100,2100,10,NoTempAttn,FadeDist,1,059|era5_pressure_merged_650hPa_filtered_normalized|q
100,2100,10,NoTempAttn,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2100,10,NoTempAttn,W1,1,018|era5_pressure_merged_5hPa_filtered_normalized|t
100,2100,10,NoTempAttn,W2,1,010|era5_pressure_merged_1hPa_filtered_normalized|vo
100,2700,10,NoTempAttn,FadeDist,1,066|era5_pressure_merged_650hPa_filtered_normalized|vo
100,2700,10,NoTempAttn,FadeTailDist,1,032|era5_pressure_merged_30hPa_filtered_normalized|v
100,2700,10,NoTempAttn,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,2700,10,NoTempAttn,TailMSE,1,032|era5_pressure_merged_30hPa_filtered_normalized|v
100,2700,10,NoTempAttn,TailW1,1,034|era5_pressure_merged_30hPa_filtered_normalized|vo
100,2700,10,NoTempAttn,W1,1,038|era5_pressure_merged_200hPa_filtered_normalized|z
100,2700,10,NoTempAttn,W2,1,017|era5_pressure_merged_5hPa_filtered_normalized|q
100,100,10,NoVertical,TailMSE,1,021|era5_pressure_merged_5hPa_filtered_normalized|w
100,100,10,NoVertical,FadeTailDist,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,100,10,NoVertical,TailW1,1,055|era5_pressure_merged_650hPa_filtered_normalized|pv
100,100,10,NoVertical,FadeDist,1,238|era5_surface_merged_all_filter_normalized|fg10
100,100,10,NoVertical,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,100,10,NoVertical,W1,1,034|era5_pressure_merged_30hPa_filtered_normalized|vo
100,100,10,NoVertical,W2,1,020|era5_pressure_merged_5hPa_filtered_normalized|v
100,300,10,NoVertical,TailMSE,1,021|era5_pressure_merged_5hPa_filtered_normalized|w
100,300,10,NoVertical,FadeTailDist,1,221|era5_surface_merged_all_filter_normalized|iews
100,300,10,NoVertical,TailW1,1,139|era5_surface_merged_all_filter_normalized|v10
100,300,10,NoVertical,FadeDist,1,238|era5_surface_merged_all_filter_normalized|fg10
100,300,10,NoVertical,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
100,300,10,NoVertical,W1,1,066|era5_pressure_merged_650hPa_filtered_normalized|vo
100,300,10,NoVertical,W2,1,062|era5_pressure_merged_650hPa_filtered_normalized|t
100,900,10,NoVertical,TailMSE,1,017|era5_pressure_merged_5hPa_filtered_normalized|q
100,900,10,NoVertical,FadeTailDist,1,067|era5_pressure_merged_650hPa_filtered_normalized|expver
100,900,10,NoVertical,TailW1,1,149|era5_surface_merged_all_filter_normalized|v100
100,900,10,NoVertical,FadeDist,1,064|era5_pressure_merged_650hPa_filtered_normalized|v
100,900,10,NoVertical,RMSE,1,240|era5_surface_merged_all_filter_normalized|mntpr
